Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,TOV,PTS
Steven Adams,C,26,OKC,58,58,1564,262,443,0.591,1,3,0.333,261,440,0.593,0.593,108,183,0.59,196,347,543,141,50,65,86,111,633
Bam Adebayo,PF,22,MIA,65,65,2235,408,719,0.567,1,13,0.077,407,706,0.576,0.568,236,342,0.69,165,518,683,333,78,85,185,164,1053
LaMarcus Aldridge,C,34,SAS,53,53,1754,391,793,0.493,61,157,0.389,330,636,0.519,0.532,158,191,0.827,103,289,392,129,36,87,74,128,1001
Nickeil Alexander-Walker,SG,21,NOP,41,0,501,77,227,0.339,40,117,0.342,37,110,0.336,0.427,17,28,0.607,8,72,80,74,11,7,40,46,211
Grayson Allen,SG,24,MEM,30,0,498,79,176,0.449,33,91,0.363,46,85,0.541,0.543,30,35,0.857,5,61,66,43,6,1,23,36,221
Jarrett Allen,C,21,BRK,64,58,1647,267,413,0.646,0,5,0,267,408,0.654,0.646,147,237,0.62,195,410,605,85,37,85,72,144,681
Kadeem Allen,SG,27,NYK,10,0,117,19,44,0.432,5,16,0.313,14,28,0.5,0.489,7,11,0.636,2,7,9,21,5,2,8,7,50
Al-Farouq Aminu,PF,29,ORL,18,2,380,25,86,0.291,9,36,0.25,16,50,0.32,0.343,19,29,0.655,24,63,87,21,18,8,17,27,78
Justin Anderson,SF,26,BRK,3,0,17,1,6,0.167,0,3,0,1,3,0.333,0.167,1,2,0.5,0,2,2,0,0,1,0,2,3
Kyle Anderson,PF,26,MEM,59,20,1140,138,280,0.493,16,62,0.258,122,218,0.56,0.521,43,66,0.652,54,203,257,132,46,31,55,85,335
Ryan Anderson,PF,31,HOU,2,0,14,2,7,0.286,1,5,0.2,1,2,0.5,0.357,0,0,,0,7,7,2,1,0,1,1,5
Giannis Antetokounmpo,PF,25,MIL,57,57,1763,623,1139,0.547,83,271,0.306,540,868,0.622,0.583,361,570,0.633,130,653,783,329,59,58,209,173,1690
Kostas Antetokounmpo,PF,22,LAL,3,0,5,0,0,,0,0,,0,0,,,0,0,,0,1,1,1,0,0,0,0,0
Thanasis Antetokounmpo,SF,27,MIL,18,2,93,19,36,0.528,0,7,0,19,29,0.655,0.528,7,15,0.467,11,8,19,9,6,2,11,13,45
Carmelo Anthony,PF,35,POR,50,50,1623,289,679,0.426,72,194,0.371,217,485,0.447,0.479,113,134,0.843,61,252,313,79,40,23,87,142,763
OG Anunoby,SF,22,TOR,63,62,1897,267,527,0.507,82,215,0.381,185,312,0.593,0.584,59,86,0.686,74,267,341,99,88,42,75,155,675
Ryan Arcidiacono,PG,25,CHI,58,4,930,90,220,0.409,54,138,0.391,36,82,0.439,0.532,27,38,0.711,20,90,110,96,27,3,37,96,261
Trevor Ariza,SF,34,TOT,53,21,1493,142,324,0.438,77,207,0.372,65,117,0.556,0.557,62,74,0.838,34,212,246,91,69,15,56,111,423
Trevor Ariza,SF,34,SAC,32,0,791,64,165,0.388,43,122,0.352,21,43,0.488,0.518,21,27,0.778,21,125,146,50,35,7,28,63,192
Trevor Ariza,SF,34,POR,21,21,702,78,159,0.491,34,85,0.4,44,74,0.595,0.597,41,47,0.872,13,87,100,41,34,8,28,48,231
D.J. Augustin,PG,32,ORL,49,6,1215,156,397,0.393,60,174,0.345,96,223,0.43,0.469,139,157,0.885,18,91,109,223,30,1,69,53,511
Deandre Ayton,C,21,PHO,30,25,996,255,465,0.548,0,3,0,255,462,0.552,0.548,60,78,0.769,123,237,360,57,22,51,71,97,570
Dwayne Bacon,SG,24,CHO,39,11,687,85,244,0.348,19,67,0.284,66,177,0.373,0.387,35,53,0.66,15,85,100,52,23,2,37,52,224
Marvin Bagley III,PF,20,SAC,13,6,334,78,167,0.467,4,22,0.182,74,145,0.51,0.479,25,31,0.806,29,68,97,10,6,12,18,43,185
Lonzo Ball,PG,22,NOP,56,47,1817,259,628,0.412,139,363,0.383,120,265,0.453,0.523,38,67,0.567,63,285,348,392,80,30,172,110,695
Mo Bamba,C,21,ORL,60,0,868,132,282,0.468,37,104,0.356,95,178,0.534,0.534,31,46,0.674,98,201,299,42,22,85,42,115,332
J.J. Barea,PG,35,DAL,26,4,391,74,179,0.413,29,76,0.382,45,103,0.437,0.494,17,18,0.944,10,38,48,99,4,2,35,25,194
Harrison Barnes,PF,27,SAC,64,64,2231,326,711,0.459,93,243,0.383,233,468,0.498,0.524,196,244,0.803,61,245,306,152,38,10,80,82,941
RJ Barrett,SG,19,NYK,56,55,1704,292,727,0.402,63,197,0.32,229,530,0.432,0.445,156,254,0.614,50,229,279,143,55,17,124,122,803
Will Barton,SF,29,DEN,58,58,1916,332,738,0.45,108,288,0.375,224,450,0.498,0.523,102,133,0.767,76,289,365,212,61,29,88,121,874
Keita Bates-Diop,SF,24,TOT,39,0,665,89,208,0.428,31,94,0.33,58,114,0.509,0.502,49,69,0.71,21,91,112,30,17,21,14,38,258
Keita Bates-Diop,SF,24,MIN,37,0,646,87,206,0.422,31,94,0.33,56,112,0.5,0.498,46,65,0.708,21,89,110,30,17,20,14,36,251
Keita Bates-Diop,SF,24,DEN,2,0,19,2,2,1,0,0,,2,2,1,1,3,4,0.75,0,2,2,0,0,1,0,2,7
Nicolas Batum,SF,31,CHO,22,3,505,28,81,0.346,14,49,0.286,14,32,0.438,0.432,9,10,0.9,25,75,100,66,17,8,22,41,79
Aron Baynes,C,33,PHO,42,28,934,183,381,0.48,59,168,0.351,124,213,0.582,0.558,56,75,0.747,71,166,237,67,10,23,50,141,481
Kent Bazemore,SF-SG,30,TOT,64,21,1604,185,495,0.374,78,228,0.342,107,267,0.401,0.453,109,142,0.768,24,253,277,85,70,39,85,182,557
Kent Bazemore,SF,30,POR,43,21,1111,113,326,0.347,56,171,0.327,57,155,0.368,0.433,58,72,0.806,13,159,172,61,45,31,60,121,340
Kent Bazemore,SG,30,SAC,21,0,493,72,169,0.426,22,57,0.386,50,112,0.446,0.491,51,70,0.729,11,94,105,24,25,8,25,61,217
Darius Bazley,PF,19,OKC,53,8,909,88,230,0.383,30,100,0.3,58,130,0.446,0.448,32,47,0.681,21,175,196,29,20,35,40,45,238
Bradley Beal,SG,26,WAS,57,57,2053,593,1303,0.455,170,481,0.353,423,822,0.515,0.52,385,457,0.842,52,190,242,347,71,23,194,126,1741
Malik Beasley,SG,23,TOT,55,14,1209,227,534,0.425,107,276,0.388,120,258,0.465,0.525,54,66,0.818,18,130,148,75,40,8,57,77,615
Malik Beasley,SG,23,DEN,41,0,746,117,301,0.389,58,161,0.36,59,140,0.421,0.485,33,38,0.868,9,68,77,48,31,6,36,50,325
Malik Beasley,SG,23,MIN,14,14,463,110,233,0.472,49,115,0.426,61,118,0.517,0.577,21,28,0.75,9,62,71,27,9,2,21,27,290
Marco Belinelli,SG,33,SAS,52,0,779,106,271,0.391,57,155,0.368,49,116,0.422,0.496,32,41,0.78,4,86,90,64,10,1,16,41,301
Jordan Bell,C-PF,25,TOT,29,0,256,35,67,0.522,4,12,0.333,31,55,0.564,0.552,19,31,0.613,30,51,81,16,3,10,21,19,93
Jordan Bell,C,25,MIN,27,0,235,32,60,0.533,2,9,0.222,30,51,0.588,0.55,17,29,0.586,28,50,78,14,2,10,18,17,83
Jordan Bell,PF,25,MEM,2,0,21,3,7,0.429,2,3,0.667,1,4,0.25,0.571,2,2,1,2,1,3,2,1,0,3,2,10
DeAndre' Bembry,SG,25,ATL,43,4,915,104,228,0.456,15,65,0.231,89,163,0.546,0.489,26,48,0.542,34,118,152,81,55,19,60,84,249
Dragan Bender,SF,22,TOT,16,3,286,41,92,0.446,15,43,0.349,26,49,0.531,0.527,10,14,0.714,16,57,73,28,4,9,21,42,107
Dragan Bender,SF,22,MIL,7,0,91,10,21,0.476,4,9,0.444,6,12,0.5,0.571,2,3,0.667,0,20,20,9,0,5,5,16,26
Dragan Bender,SF,22,GSW,9,3,195,31,71,0.437,11,34,0.324,20,37,0.541,0.514,8,11,0.727,16,37,53,19,4,4,16,26,81
Dāvis Bertāns,PF,27,WAS,54,4,1583,265,610,0.434,200,472,0.424,65,138,0.471,0.598,104,122,0.852,35,210,245,92,37,33,59,139,834
Patrick Beverley,PG,31,LAC,48,48,1299,139,325,0.428,75,198,0.379,64,127,0.504,0.543,27,41,0.659,56,203,259,179,53,25,64,150,380
Khem Birch,C,27,ORL,40,24,777,56,115,0.487,0,1,0,56,114,0.491,0.487,41,67,0.612,70,110,180,35,16,21,23,73,153
Goga Bitadze,C,20,IND,49,2,410,61,129,0.473,6,36,0.167,55,93,0.591,0.496,24,33,0.727,22,74,96,21,6,32,25,57,152
Bismack Biyombo,C,27,CHO,53,29,1029,151,278,0.543,0,0,,151,278,0.543,0.543,91,151,0.603,120,188,308,50,10,49,48,116,393
Nemanja Bjelica,PF,31,SAC,64,61,1821,287,604,0.475,125,295,0.424,162,309,0.524,0.579,60,73,0.822,107,305,412,179,54,33,92,193,759
Eric Bledsoe,PG,30,MIL,56,56,1524,319,662,0.482,70,201,0.348,249,461,0.54,0.535,157,193,0.813,41,218,259,302,53,25,140,120,865
Bogdan Bogdanović,SG,27,SAC,53,20,1510,277,639,0.433,137,380,0.361,140,259,0.541,0.541,76,105,0.724,17,154,171,169,54,14,89,115,767
Bojan Bogdanović,SF,30,UTA,63,63,2083,418,935,0.447,189,457,0.414,229,478,0.479,0.548,250,277,0.903,39,220,259,131,34,7,159,110,1275
Jonah Bolden,PF,24,TOT,7,0,47,4,11,0.364,0,4,0,4,7,0.571,0.364,2,4,0.5,3,6,9,0,3,2,2,10,10
Jonah Bolden,PF,24,PHI,4,0,14,2,3,0.667,0,1,0,2,2,1,0.667,0,2,0,0,1,1,0,1,0,2,4,4
Jonah Bolden,PF,24,PHO,3,0,33,2,8,0.25,0,3,0,2,5,0.4,0.25,2,2,1,3,5,8,0,2,2,0,6,6
Marques Bolden,C,21,CLE,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,2,2,0,1,0,0,1,0
Jordan Bone,PG,22,DET,10,0,53,5,20,0.25,2,10,0.2,3,10,0.3,0.3,0,0,,0,4,4,8,1,0,2,6,12
Isaac Bonga,SF,20,WAS,58,41,1025,96,184,0.522,22,55,0.4,74,129,0.574,0.582,52,64,0.813,61,122,183,61,37,21,41,136,266
Devin Booker,SG,23,PHO,62,62,2241,544,1118,0.487,126,350,0.36,418,768,0.544,0.543,405,442,0.916,27,231,258,408,45,16,244,188,1619
Chris Boucher,PF,27,TOR,55,0,724,119,260,0.458,28,99,0.283,91,161,0.565,0.512,82,103,0.796,94,148,242,23,20,53,23,104,348
Brian Bowen,SG,21,IND,5,1,29,2,9,0.222,0,2,0,2,7,0.286,0.222,0,0,,1,6,7,0,0,1,1,2,4
Ky Bowman,PG,22,GSW,45,12,1015,134,321,0.417,33,107,0.308,101,214,0.472,0.469,34,41,0.829,24,97,121,131,44,10,70,102,335
Avery Bradley,SG,29,LAL,49,44,1186,170,383,0.444,63,173,0.364,107,210,0.51,0.526,20,24,0.833,18,97,115,63,43,5,47,110,423
Tony Bradley,C,22,UTA,50,2,535,103,155,0.665,1,1,1,102,154,0.662,0.668,26,40,0.65,90,126,216,17,12,25,23,98,233
Jarrell Brantley,PF,23,UTA,5,0,13,0,0,,0,0,,0,0,,,0,0,,0,5,5,1,0,2,2,2,0
Ignas Brazdeikis,SF,21,NYK,9,0,53,6,22,0.273,1,9,0.111,5,13,0.385,0.295,4,5,0.8,2,3,5,4,0,1,2,3,17
Mikal Bridges,SF,23,PHO,65,24,1772,210,407,0.516,56,159,0.352,154,248,0.621,0.585,89,105,0.848,59,200,259,115,93,39,65,142,565
Miles Bridges,SF,21,CHO,65,64,1995,319,753,0.424,99,300,0.33,220,453,0.486,0.489,106,131,0.809,88,274,362,114,40,48,95,132,843
Oshae Brissett,SF,21,TOR,19,0,135,13,36,0.361,3,15,0.2,10,21,0.476,0.403,8,10,0.8,9,17,26,7,4,1,7,18,37
Ryan Broekhoff,SG,29,DAL,17,1,180,22,59,0.373,20,51,0.392,2,8,0.25,0.542,7,8,0.875,5,38,43,11,5,4,6,15,71
Malcolm Brogdon,PG,27,IND,48,48,1472,289,659,0.439,61,195,0.313,228,464,0.491,0.485,145,162,0.895,40,186,226,343,33,8,115,88,784
Dillon Brooks,SG,24,MEM,65,65,1851,372,925,0.402,132,358,0.369,240,567,0.423,0.474,144,178,0.809,61,152,213,128,57,25,108,246,1020
Bruce Brown,SG,23,DET,58,43,1634,198,447,0.443,33,96,0.344,165,351,0.47,0.48,88,119,0.739,61,213,274,230,63,29,100,162,517
Charlie Brown,SG,22,ATL,10,0,40,6,19,0.316,3,9,0.333,3,10,0.3,0.395,5,5,1,2,2,4,2,2,2,3,3,20
Jaylen Brown,SF,23,BOS,50,50,1702,378,772,0.49,107,281,0.381,271,491,0.552,0.559,159,216,0.736,54,264,318,109,56,16,116,151,1022
Moses Brown,C,20,POR,9,0,33,4,10,0.4,0,0,,4,10,0.4,0.4,3,8,0.375,3,11,14,1,1,1,3,7,11
Sterling Brown,SF,24,MIL,45,1,665,80,218,0.367,36,114,0.316,44,104,0.423,0.45,27,35,0.771,28,137,165,46,22,7,36,45,223
Troy Brown Jr.,SG,20,WAS,61,14,1519,229,506,0.453,50,145,0.345,179,361,0.496,0.502,86,114,0.754,64,261,325,142,76,6,65,110,594
Jalen Brunson,PG,23,DAL,57,16,1022,181,388,0.466,43,120,0.358,138,268,0.515,0.522,61,75,0.813,22,112,134,188,22,4,66,74,466
Thomas Bryant,C,22,WAS,38,28,901,184,307,0.599,22,54,0.407,162,253,0.64,0.635,70,95,0.737,75,185,260,71,14,33,48,85,460
Reggie Bullock,SG,28,NYK,29,19,684,90,224,0.402,37,111,0.333,53,113,0.469,0.484,17,21,0.81,13,55,68,42,25,3,19,56,234
Trey Burke,PG,27,PHI,25,0,329,59,127,0.465,16,38,0.421,43,89,0.483,0.528,13,18,0.722,15,20,35,53,7,1,12,21,147
Alec Burks,SG,28,TOT,59,18,1612,283,701,0.404,100,273,0.366,183,428,0.428,0.475,225,251,0.896,43,219,262,171,58,17,85,120,891
Alec Burks,SG,28,GSW,48,18,1390,244,601,0.406,84,224,0.375,160,377,0.424,0.476,201,224,0.897,37,189,226,151,50,17,76,107,773
Alec Burks,SG,28,PHI,11,0,222,39,100,0.39,16,49,0.327,23,51,0.451,0.47,24,27,0.889,6,30,36,20,8,0,9,13,118
Deonte Burton,SG,26,OKC,34,0,284,39,105,0.371,10,46,0.217,29,59,0.492,0.419,6,12,0.5,6,42,48,11,5,10,14,28,94
Jimmy Butler,SF,30,MIA,54,54,1851,328,722,0.454,29,117,0.248,299,605,0.494,0.474,408,490,0.833,98,261,359,331,92,29,118,74,1093
Bruno Caboclo,SF,24,TOT,27,0,220,32,77,0.416,4,28,0.143,28,49,0.571,0.442,4,5,0.8,22,31,53,12,12,16,9,25,72
Bruno Caboclo,SF,24,MEM,22,0,192,28,69,0.406,4,25,0.16,24,44,0.545,0.435,2,3,0.667,17,27,44,10,10,12,7,23,62
Bruno Caboclo,SF,24,HOU,5,0,28,4,8,0.5,0,3,0,4,5,0.8,0.5,2,2,1,5,4,9,2,2,4,2,2,10
Kentavious Caldwell-Pope,SG,26,LAL,63,20,1603,220,466,0.472,87,221,0.394,133,245,0.543,0.565,74,95,0.779,37,95,132,105,53,13,55,117,601
Vlatko Čančar,SF,22,DEN,14,0,45,6,15,0.4,1,6,0.167,5,9,0.556,0.433,4,4,1,5,5,10,3,1,1,3,7,17
Clint Capela,C,25,HOU,39,39,1279,244,388,0.629,0,0,,244,388,0.629,0.629,55,104,0.529,168,369,537,48,33,72,63,102,543
DeMarre Carroll,SF,33,TOT,21,0,231,21,54,0.389,7,27,0.259,14,27,0.519,0.454,24,36,0.667,11,36,47,18,4,4,16,28,73
DeMarre Carroll,SF,33,SAS,15,0,135,9,29,0.31,3,13,0.231,6,16,0.375,0.362,12,20,0.6,7,24,31,11,2,2,10,20,33
DeMarre Carroll,SF,33,HOU,6,0,96,12,25,0.48,4,14,0.286,8,11,0.727,0.56,12,16,0.75,4,12,16,7,2,2,6,8,40
Jevon Carter,PG,24,PHO,50,2,754,82,205,0.4,46,117,0.393,36,88,0.409,0.512,21,25,0.84,25,73,98,65,38,13,31,76,231
Vince Carter,SF,43,ATL,60,0,876,107,304,0.352,61,202,0.302,46,102,0.451,0.452,23,29,0.793,18,106,124,48,23,25,33,90,298
Wendell Carter Jr.,C,20,CHI,43,43,1256,183,343,0.534,6,29,0.207,177,314,0.564,0.542,112,152,0.737,139,266,405,51,33,36,72,162,484
Michael Carter-Williams,SG,28,ORL,42,0,773,105,242,0.434,20,68,0.294,85,174,0.489,0.475,72,87,0.828,44,96,140,102,45,20,48,78,302
Alex Caruso,PG,25,LAL,58,1,1032,110,260,0.423,38,107,0.355,72,153,0.471,0.496,58,76,0.763,14,98,112,102,60,17,46,85,316
Willie Cauley-Stein,C,26,TOT,54,39,1097,175,302,0.579,0,1,0,175,301,0.581,0.579,40,66,0.606,84,231,315,70,49,61,40,121,390
Willie Cauley-Stein,C,26,GSW,41,37,940,144,257,0.56,0,0,,144,257,0.56,0.56,35,57,0.614,71,184,255,60,45,50,35,102,323
Willie Cauley-Stein,C,26,DAL,13,2,157,31,45,0.689,0,1,0,31,44,0.705,0.689,5,9,0.556,13,47,60,10,4,11,5,19,67
Tyson Chandler,C,37,HOU,26,5,219,14,18,0.778,0,0,,14,18,0.778,0.778,6,13,0.462,25,41,66,6,6,8,8,32,34
Wilson Chandler,SF,32,BRK,35,3,734,74,183,0.404,37,121,0.306,37,62,0.597,0.505,20,23,0.87,11,134,145,39,16,12,34,79,205
Joe Chealey,PG,24,CHO,4,0,33,0,7,0,0,4,0,0,3,0,0,2,2,1,0,0,0,1,4,0,2,2,2
Zylan Cheatham,SF,24,NOP,3,0,31,2,5,0.4,0,1,0,2,4,0.5,0.4,0,0,,1,5,6,2,0,1,3,5,4
Chris Chiozza,PG,24,TOT,21,0,249,32,79,0.405,18,41,0.439,14,38,0.368,0.519,2,2,1,6,29,35,48,15,2,17,23,84
Chris Chiozza,PG,24,WAS,10,0,123,10,34,0.294,7,16,0.438,3,18,0.167,0.397,0,0,,0,15,15,28,10,2,9,12,27
Chris Chiozza,PG,24,BRK,11,0,126,22,45,0.489,11,25,0.44,11,20,0.55,0.611,2,2,1,6,14,20,20,5,0,8,11,57
Marquese Chriss,PF,22,GSW,59,21,1196,210,385,0.545,8,39,0.205,202,346,0.584,0.556,120,156,0.769,114,251,365,114,39,62,78,122,548
Gary Clark,PF,25,TOT,35,1,425,38,101,0.376,28,86,0.326,10,15,0.667,0.515,8,9,0.889,27,58,85,15,5,14,5,31,112
Gary Clark,PF,25,HOU,18,0,212,23,59,0.39,18,51,0.353,5,8,0.625,0.542,6,7,0.857,11,29,40,12,2,7,2,21,70
Gary Clark,PF,25,ORL,17,1,213,15,42,0.357,10,35,0.286,5,7,0.714,0.476,2,2,1,16,29,45,3,3,7,3,10,42
Brandon Clarke,PF,23,MEM,50,3,1086,254,408,0.623,21,52,0.404,233,356,0.654,0.648,73,93,0.785,78,214,292,72,26,42,46,82,602
Jordan Clarkson,SG,27,TOT,63,0,1527,350,753,0.465,130,353,0.368,220,400,0.55,0.551,122,145,0.841,47,120,167,124,43,15,82,92,952
Jordan Clarkson,SG,27,CLE,29,0,666,144,326,0.442,59,159,0.371,85,167,0.509,0.532,76,86,0.884,21,48,69,70,17,8,39,33,423
Jordan Clarkson,SG,27,UTA,34,0,861,206,427,0.482,71,194,0.366,135,233,0.579,0.566,46,59,0.78,26,72,98,54,26,7,43,59,529
Nicolas Claxton,PF,20,BRK,15,0,187,27,48,0.563,1,7,0.143,26,41,0.634,0.573,11,21,0.524,19,25,44,16,1,8,9,14,66
Chris Clemons,SG,22,HOU,29,0,251,51,126,0.405,33,94,0.351,18,32,0.563,0.536,6,7,0.857,3,20,23,22,6,5,17,20,141
Antonius Cleveland,SG,25,DAL,6,0,22,2,6,0.333,0,1,0,2,5,0.4,0.333,1,2,0.5,0,3,3,0,1,1,1,2,5
Amir Coffey,SG,22,LAC,13,0,98,13,33,0.394,1,7,0.143,12,26,0.462,0.409,1,3,0.333,4,10,14,9,1,1,3,12,28
John Collins,PF,22,ATL,41,41,1363,353,605,0.583,59,147,0.401,294,458,0.642,0.632,120,150,0.8,116,300,416,60,31,66,75,138,885
Zach Collins,PF,22,POR,3,3,86,9,19,0.474,3,7,0.429,6,12,0.5,0.553,6,6,1,4,8,12,6,0,2,6,11,27
Mike Conley,PG,32,UTA,41,35,1171,197,486,0.405,80,213,0.376,117,273,0.429,0.488,93,117,0.795,27,106,133,178,31,4,76,92,567
Pat Connaughton,SG,27,MIL,61,1,1119,119,261,0.456,44,137,0.321,75,124,0.605,0.54,27,36,0.75,56,203,259,95,20,30,47,60,309
Quinn Cook,PG,26,LAL,38,0,409,76,173,0.439,25,66,0.379,51,107,0.477,0.512,6,9,0.667,7,33,40,40,11,1,25,23,183
Tyler Cook,PF,22,CLE,11,0,35,7,10,0.7,0,0,,7,10,0.7,0.7,5,6,0.833,4,6,10,1,1,0,1,4,19
Robert Covington,PF,29,TOT,62,60,1867,280,648,0.432,148,424,0.349,132,224,0.589,0.546,86,108,0.796,54,343,397,74,95,80,93,196,794
Robert Covington,PF,29,MIN,48,47,1411,216,496,0.435,108,312,0.346,108,184,0.587,0.544,75,94,0.798,36,251,287,56,80,45,73,148,615
Robert Covington,PF,29,HOU,14,13,456,64,152,0.421,40,112,0.357,24,40,0.6,0.553,11,14,0.786,18,92,110,18,15,35,20,48,179
Allen Crabbe,SG,27,TOT,37,1,653,63,177,0.356,36,119,0.303,27,58,0.466,0.458,10,14,0.714,11,66,77,33,15,4,17,47,172
Allen Crabbe,SG,27,ATL,28,1,522,52,143,0.364,30,93,0.323,22,50,0.44,0.469,9,12,0.75,10,55,65,28,15,4,12,36,143
Allen Crabbe,SG,27,MIN,9,0,131,11,34,0.324,6,26,0.231,5,8,0.625,0.412,1,2,0.5,1,11,12,5,0,0,5,11,29
Torrey Craig,SF,29,DEN,50,19,869,96,208,0.462,36,109,0.33,60,99,0.606,0.548,20,31,0.645,48,108,156,34,18,32,22,112,248
Jae Crowder,SF,29,TOT,58,46,1695,197,513,0.384,113,355,0.318,84,158,0.532,0.494,95,121,0.785,48,305,353,151,67,21,62,126,602
Jae Crowder,SF,29,MEM,45,45,1322,147,399,0.368,78,266,0.293,69,133,0.519,0.466,75,95,0.789,40,237,277,125,47,14,54,85,447
Jae Crowder,SF,29,MIA,13,1,373,50,114,0.439,35,89,0.393,15,25,0.6,0.592,20,26,0.769,8,68,76,26,20,7,8,41,155
Jarrett Culver,SG,20,MIN,63,35,1506,230,569,0.404,66,221,0.299,164,348,0.471,0.462,54,117,0.462,70,142,212,110,57,38,81,125,580
Seth Curry,SG,29,DAL,59,20,1448,266,532,0.5,136,300,0.453,130,232,0.56,0.628,74,88,0.841,26,113,139,119,36,8,60,101,742
Stephen Curry,PG,31,GSW,5,5,139,33,82,0.402,12,49,0.245,21,33,0.636,0.476,26,26,1,4,22,26,33,5,2,16,11,104
Troy Daniels,SG,28,TOT,42,0,457,62,159,0.39,40,113,0.354,22,46,0.478,0.516,10,16,0.625,12,34,46,14,8,3,9,30,174
Troy Daniels,SG,28,LAL,41,0,456,62,158,0.392,40,112,0.357,22,46,0.478,0.519,10,16,0.625,12,34,46,14,8,3,9,30,174
Troy Daniels,SG,28,DEN,1,0,1,0,1,0,0,1,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0
Anthony Davis,PF,26,LAL,55,55,1889,508,994,0.511,65,194,0.335,443,800,0.554,0.544,386,457,0.845,124,393,517,172,82,134,135,138,1467
Ed Davis,C,30,UTA,25,0,268,14,34,0.412,0,0,,14,34,0.412,0.412,5,11,0.455,29,66,95,8,10,9,13,55,33
Terence Davis,SG,22,TOR,64,2,1087,181,391,0.463,88,222,0.396,93,169,0.55,0.575,45,52,0.865,46,171,217,107,32,12,65,104,495
Dewayne Dedmon,C,30,TOT,44,18,774,102,255,0.4,22,107,0.206,80,148,0.541,0.443,30,36,0.833,60,189,249,22,25,41,57,133,256
Dewayne Dedmon,C,30,SAC,34,10,541,69,171,0.404,14,71,0.197,55,100,0.55,0.444,23,28,0.821,46,121,167,15,15,26,47,93,175
Dewayne Dedmon,C,30,ATL,10,8,233,33,84,0.393,8,36,0.222,25,48,0.521,0.44,7,8,0.875,14,68,82,7,10,15,10,40,81
Matthew Dellavedova,PG,29,CLE,57,4,821,62,175,0.354,21,91,0.231,41,84,0.488,0.414,32,37,0.865,18,57,75,180,20,2,59,78,177
DeMar DeRozan,SF,30,SAS,61,61,2091,503,956,0.526,8,30,0.267,495,926,0.535,0.53,338,401,0.843,39,305,344,340,62,14,147,164,1352
Cheick Diallo,C,23,PHO,44,2,467,89,137,0.65,1,2,0.5,88,135,0.652,0.653,32,37,0.865,28,99,127,22,10,12,30,54,211
Hamidou Diallo,SF,21,OKC,38,3,699,99,219,0.452,7,35,0.2,92,184,0.5,0.468,28,45,0.622,29,93,122,22,28,8,37,82,233
Gorgui Dieng,C,30,TOT,58,17,1012,158,343,0.461,51,142,0.359,107,201,0.532,0.535,61,83,0.735,87,249,336,71,48,56,55,112,428
Gorgui Dieng,C,30,MIN,46,17,778,124,277,0.448,46,120,0.383,78,157,0.497,0.531,47,59,0.797,73,183,256,58,37,42,44,89,341
Gorgui Dieng,C,30,MEM,12,0,234,34,66,0.515,5,22,0.227,29,44,0.659,0.553,14,24,0.583,14,66,80,13,11,14,11,23,87
Spencer Dinwiddie,SG,26,BRK,64,49,1994,424,1021,0.415,123,400,0.308,301,621,0.485,0.476,347,446,0.778,32,189,221,432,40,21,174,180,1318
Donte DiVincenzo,SG,23,MIL,59,22,1362,209,452,0.462,76,221,0.344,133,231,0.576,0.546,60,78,0.769,59,230,289,136,80,18,72,97,554
Luka Dončić,PG,20,DAL,54,54,1799,512,1111,0.461,156,491,0.318,356,620,0.574,0.531,369,491,0.752,69,433,502,470,59,10,227,134,1549
Luguentz Dort,SG,20,OKC,29,21,637,65,157,0.414,22,73,0.301,43,84,0.512,0.484,28,36,0.778,15,39,54,21,23,2,15,78,180
Damyean Dotson,SG,25,NYK,48,0,836,120,290,0.414,59,163,0.362,61,127,0.48,0.516,22,33,0.667,10,81,91,57,23,4,21,44,321
Sekou Doumbouya,SF,19,DET,38,19,754,92,236,0.39,28,98,0.286,64,138,0.464,0.449,31,46,0.674,20,98,118,19,20,8,35,80,243
PJ Dozier,PG,23,DEN,21,0,234,36,91,0.396,7,28,0.25,29,63,0.46,0.434,7,11,0.636,5,25,30,29,7,5,11,27,86
Goran Dragić,PG,33,MIA,54,1,1531,290,663,0.437,118,313,0.377,172,350,0.491,0.526,170,221,0.769,26,140,166,273,31,8,133,105,868
Andre Drummond,C,26,TOT,57,56,1879,418,784,0.533,5,35,0.143,413,749,0.551,0.536,169,294,0.575,250,614,864,152,109,93,203,201,1010
Andre Drummond,C,26,DET,49,48,1654,360,679,0.53,1,21,0.048,359,658,0.546,0.531,149,255,0.584,226,549,775,138,97,82,174,176,870
Andre Drummond,C,26,CLE,8,8,225,58,105,0.552,4,14,0.286,54,91,0.593,0.571,20,39,0.513,24,65,89,14,12,11,29,25,140
Jared Dudley,SF,34,LAL,40,1,311,20,50,0.4,16,34,0.471,4,16,0.25,0.56,2,2,1,5,38,43,19,12,3,6,36,58
Kris Dunn,PG,25,CHI,51,32,1269,152,342,0.444,29,112,0.259,123,230,0.535,0.487,40,54,0.741,23,163,186,173,101,17,68,158,373
