Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,TOV,PTS
Jarred Vanderbilt,PF,20,MIN,2,0,5,0,1,0,0,1,0,0,0,,0,2,2,1,0,1,1,0,0,0,0,0,2
Fred VanVleet,PG,25,TOR,48,48,1719,287,701,0.409,131,338,0.388,156,363,0.43,0.503,140,166,0.843,18,162,180,317,91,13,110,118,845
Gabe Vincent,PG,23,MIA,6,0,42,4,19,0.211,4,16,0.25,0,3,0,0.316,0,0,,0,3,3,3,1,0,0,2,12
Noah Vonleh,C-PF,24,TOT,33,1,364,50,89,0.562,3,15,0.2,47,74,0.635,0.579,24,30,0.8,37,86,123,27,11,6,21,38,127
Noah Vonleh,C,24,MIN,29,1,347,47,86,0.547,2,14,0.143,45,72,0.625,0.558,23,28,0.821,34,82,116,26,11,6,19,36,119
Noah Vonleh,PF,24,DEN,4,0,17,3,3,1,1,1,1,2,2,1,1.167,1,2,0.5,3,4,7,1,0,0,2,2,8
Nikola Vučević,C,29,ORL,54,54,1763,428,910,0.47,82,249,0.329,346,661,0.523,0.515,114,146,0.781,130,466,596,202,46,47,77,121,1052
Dean Wade,PF,23,CLE,12,0,71,9,13,0.692,2,4,0.5,7,9,0.778,0.769,0,1,0,3,16,19,2,2,4,3,8,20
Moritz Wagner,C,22,WAS,37,5,707,131,228,0.575,23,67,0.343,108,161,0.671,0.625,67,82,0.817,51,141,192,49,22,17,55,134,352
Dion Waiters,SG,28,MIA,3,0,42,10,26,0.385,8,17,0.471,2,9,0.222,0.538,0,1,0,0,11,11,3,0,2,3,5,28
Kemba Walker,PG,29,BOS,50,50,1592,350,832,0.421,165,438,0.377,185,394,0.47,0.52,195,225,0.867,33,171,204,247,47,25,107,77,1060
Lonnie Walker,SG,21,SAS,53,4,767,116,267,0.434,29,71,0.408,87,196,0.444,0.489,38,53,0.717,20,95,115,46,28,13,31,70,299
Tyrone Wallace,SG,25,ATL,14,0,160,14,44,0.318,1,15,0.067,13,29,0.448,0.33,11,17,0.647,3,19,22,13,7,1,10,19,40
Taurean Prince,SF,25,BRK,64,61,1857,278,739,0.376,146,431,0.339,132,308,0.429,0.475,71,89,0.798,50,331,381,116,57,25,127,159,773
Derrick Walton,PG,24,TOT,26,1,248,18,39,0.462,10,24,0.417,8,15,0.533,0.59,7,9,0.778,2,14,16,27,7,0,5,21,53
Derrick Walton,PG,24,LAC,23,1,222,17,36,0.472,9,21,0.429,8,15,0.533,0.597,7,9,0.778,2,13,15,22,4,0,4,19,50
Derrick Walton,PG,24,DET,3,0,26,1,3,0.333,1,3,0.333,0,0,,0.5,0,0,,0,1,1,5,3,0,1,2,3
Brad Wanamaker,PG,30,BOS,63,1,1215,136,318,0.428,33,90,0.367,103,228,0.452,0.48,108,116,0.931,19,105,124,158,52,12,70,120,413
T.J. Warren,SF,26,IND,61,61,1984,460,869,0.529,69,184,0.375,391,685,0.571,0.569,151,186,0.812,61,181,242,87,70,27,77,170,1140
P.J. Washington,PF,21,CHO,58,57,1759,268,589,0.455,86,230,0.374,182,359,0.507,0.528,88,136,0.647,58,258,316,123,51,44,93,158,710
Yuta Watanabe,SG,25,MEM,16,0,99,12,29,0.414,3,8,0.375,9,21,0.429,0.466,3,8,0.375,6,11,17,4,5,1,2,9,30
Tremont Waters,PG,22,BOS,10,0,89,12,35,0.343,3,17,0.176,9,18,0.5,0.386,6,6,1,0,9,9,12,5,2,10,11,33
